ID,Age,Gender,Room_Temperature (°C),Bedtime,Wakeup_Time
256,36,Male,21,21:58,7:52
257,51,Female,18,23:22,7:17
258,28,Female,19,21:02,5:54
259,31,Male,23,22:28,5:08
260,26,Female,22,23:43,7:51
261,55,Male,22,22:46,7:53
262,56,Female,19,22:18,7:57
263,34,Female,23,22:56,5:05
264,29,Female,22,23:23,5:26
265,39,Male,19,22:54,6:30
266,65,Female,18,23:45,6:12
267,23,Female,21,22:43,5:22
268,43,Female,18,23:50,5:35
269,31,Female,22,23:43,7:24
270,31,Male,24,22:42,5:16
271,23,Female,23,21:29,5:32
272,45,Male,18,23:54,5:59
273,63,Male,24,21:39,5:01
274,45,Female,23,22:16,6:26
275,50,Female,20,23:04,6:35
276,34,Male,23,21:28,6:54
277,35,Male,24,21:40,6:31
278,55,Female,24,21:20,6:29
279,63,Female,22,23:07,7:46
280,55,Male,23,22:51,6:30
281,23,Female,22,22:33,7:04
282,38,Female,24,23:27,7:44
283,23,Male,22,23:40,7:44
284,41,Male,18,23:24,7:55
285,48,Female,24,22:47,6:27
286,37,Female,18,22:49,6:57
287,30,Female,20,23:47,6:05
288,54,Male,18,21:28,6:11
289,54,Male,21,21:33,5:31
290,22,Female,22,23:26,5:16
291,57,Male,18,23:35,7:06
292,31,Male,25,23:54,7:01
293,28,Female,25,21:26,7:40
294,42,Male,25,21:51,7:08
295,56,Female,21,23:20,6:29
296,58,Female,22,21:33,6:30
297,18,Male,18,21:55,5:58
298,27,Female,23,21:18,5:10
299,28,Female,19,21:57,7:40
300,43,Male,21,22:01,6:33
301,61,Female,18,22:13,6:57
302,46,Male,19,23:05,7:13
303,20,Male,22,23:24,7:18
304,29,Female,18,22:32,7:39
305,36,Male,24,22:57,6:58
306,41,Male,24,22:11,7:58
307,30,Female,20,21:38,6:15
308,33,Female,23,23:22,7:03
309,60,Female,19,23:41,6:43
310,24,Female,24,21:58,7:21
311,45,Female,19,23:35,7:11
312,21,Male,22,21:00,5:17
313,51,Male,19,21:19,7:15
314,38,Male,23,23:56,5:13
315,24,Male,23,23:42,5:03
316,56,Male,25,22:28,6:40
317,21,Female,19,23:29,5:16
318,21,Female,21,21:04,5:39
319,62,Male,23,22:16,6:34
320,48,Male,20,21:54,5:33
321,64,Male,22,21:21,5:56
322,41,Female,21,23:53,7:51
323,46,Female,18,23:14,5:43
324,20,Female,18,22:39,7:55
325,51,Female,22,22:50,6:20
326,20,Male,21,22:42,6:15
327,19,Female,24,22:08,5:16
328,62,Male,24,22:34,7:23
329,19,Female,23,23:50,7:47
330,46,Male,23,21:29,5:33
331,35,Male,24,21:10,6:52
332,49,Male,23,21:26,6:44
333,32,Male,23,21:05,6:31
334,50,Female,23,23:40,6:55
335,32,Male,21,22:05,6:41
336,25,Male,25,21:18,6:32
337,57,Female,18,21:46,5:26
338,34,Female,21,21:59,5:11
339,65,Male,22,21:48,5:46
340,32,Male,19,21:18,5:17
341,31,Male,23,22:40,7:34
342,25,Female,25,23:27,5:13
343,38,Male,25,23:32,5:56
344,47,Female,19,23:45,7:04
345,27,Female,19,23:39,6:09
346,42,Male,24,22:40,7:38
347,32,Female,19,23:21,6:49
348,44,Male,23,22:37,5:46
349,40,Male,19,21:53,6:40
350,52,Female,21,23:44,5:35
351,23,Female,22,23:51,6:48
352,57,Male,23,22:02,5:47
353,23,Female,20,22:06,6:16
354,36,Female,22,22:25,6:43
355,28,Female,25,23:37,7:53
356,50,Male,24,23:54,5:34
357,18,Male,20,22:54,6:45
358,61,Male,18,23:02,6:36
359,36,Male,23,22:13,6:44
360,24,Male,21,23:14,7:09
361,53,Male,20,23:56,7:48
362,42,Female,19,21:28,7:52
363,29,Male,19,21:42,6:49
364,36,Male,20,23:08,6:04
365,60,Male,18,21:29,7:53
366,54,Female,23,21:20,6:21
367,49,Male,21,23:04,7:02
368,59,Male,22,21:02,7:38
369,41,Female,24,23:33,5:41
370,18,Female,20,21:23,5:48
371,37,Male,18,22:12,6:06
372,35,Female,18,21:34,7:30
373,62,Female,22,21:36,5:25
374,64,Female,19,22:31,6:38
375,25,Male,21,23:50,7:12
376,36,Male,21,23:41,7:27
377,18,Male,23,22:59,5:38
378,32,Female,23,23:33,6:18
379,24,Male,24,22:10,5:39
380,65,Male,25,23:30,6:13
381,38,Female,24,23:55,7:12
382,52,Male,22,23:47,7:19
383,52,Male,20,22:36,6:20
384,65,Male,18,22:29,7:04
385,47,Female,19,22:48,5:20
386,38,Male,22,22:12,7:27
387,61,Male,22,22:53,6:51
388,29,Female,19,22:28,7:56
389,41,Female,22,21:47,7:37
390,59,Male,23,22:26,6:09
391,59,Female,19,22:52,7:00
392,43,Male,23,22:55,5:26
393,56,Female,23,21:09,5:36
394,62,Male,25,23:26,6:19
395,43,Male,21,22:28,7:33
396,39,Female,18,23:57,5:21
397,49,Female,22,21:06,6:26
398,52,Male,25,22:46,6:07
399,48,Female,20,21:24,5:11
400,29,Male,20,21:32,6:21
401,59,Female,20,23:22,7:29
402,49,Male,20,23:48,7:11
403,35,Female,25,23:07,7:56
404,41,Female,25,22:34,7:49
405,51,Male,23,22:51,7:06
406,36,Female,25,23:27,5:18
407,64,Male,23,21:49,7:20
408,59,Male,19,21:51,6:46
409,47,Female,23,21:48,5:24
410,36,Male,25,22:11,5:02
411,33,Male,24,22:02,7:19
412,54,Female,19,23:13,6:00
413,20,Male,24,21:55,5:29
414,27,Female,20,23:16,5:39
415,43,Female,20,22:03,7:07
416,23,Male,23,22:02,5:37
417,20,Male,19,23:58,6:56
418,21,Male,18,22:15,5:33
419,41,Female,22,21:01,5:37
420,60,Male,24,22:28,5:30
421,42,Male,19,21:41,7:22
422,57,Male,24,23:56,5:24
423,27,Female,24,23:22,7:20
424,19,Male,23,22:23,6:29
425,47,Male,21,22:57,7:53
426,64,Female,24,22:33,6:05
427,47,Male,24,21:19,6:21
428,26,Male,22,23:13,7:37
429,46,Male,23,21:16,5:23
430,36,Male,23,23:54,7:33
431,44,Female,22,22:54,5:34
432,21,Male,18,21:38,6:31
433,35,Female,19,21:23,7:54
434,47,Male,21,21:24,5:53
435,27,Male,22,22:06,5:50
436,39,Female,25,22:07,7:49
437,41,Female,21,22:27,6:10
438,62,Male,21,23:02,7:45
439,23,Male,20,23:16,7:48
440,20,Female,18,23:16,7:55
441,49,Male,23,21:50,7:49
442,30,Female,22,21:27,7:26
443,52,Male,22,21:46,5:52
444,49,Male,25,21:25,6:21
445,55,Male,19,23:39,5:11
446,49,Male,21,22:01,5:55
447,31,Female,25,21:06,6:14
448,46,Male,23,23:31,5:43
449,60,Male,24,23:49,6:31
450,37,Female,23,23:08,5:12
451,42,Male,25,21:20,7:03
452,64,Female,19,22:06,5:48
453,27,Male,19,22:17,6:53
454,39,Female,21,23:54,6:59
455,43,Male,24,21:38,6:11
456,54,Female,20,23:45,6:45
457,46,Male,22,22:52,7:23
458,51,Male,19,21:10,7:17
459,51,Male,19,22:51,7:49
460,32,Male,18,21:34,7:52
461,49,Female,18,23:45,7:37
462,49,Male,22,22:02,6:00
463,33,Female,18,23:15,6:57
464,42,Female,18,23:39,5:34
465,47,Female,19,22:28,5:52
466,25,Male,22,22:05,7:34
467,59,Female,24,21:00,7:25
468,32,Male,25,21:58,5:35
469,29,Male,24,23:51,7:32
470,43,Female,21,22:50,7:18
471,42,Male,22,22:27,6:39
472,53,Male,25,23:33,7:38
473,61,Female,20,23:16,7:19
474,38,Female,18,23:40,6:42
475,19,Female,21,21:49,7:07
476,45,Male,21,22:03,5:38
477,21,Male,21,23:56,5:56
478,25,Male,22,22:18,7:24
479,27,Male,21,22:57,6:45
480,29,Female,21,22:52,6:22
481,50,Male,22,23:56,6:14
482,33,Female,18,23:22,5:44
483,33,Female,19,23:02,7:30
484,32,Male,22,21:35,6:13
485,34,Female,21,21:07,6:41
486,62,Female,25,21:11,6:44
487,48,Female,18,23:36,6:31
488,36,Male,23,23:21,5:04
489,62,Male,22,22:04,6:10
490,45,Male,24,21:51,7:02
491,62,Female,22,23:37,5:30
492,38,Female,24,22:18,7:46
493,56,Male,25,22:49,7:15
494,23,Female,22,21:26,6:41
495,45,Male,24,23:15,7:29
496,35,Female,20,23:21,6:56
497,38,Male,22,21:28,5:11
498,45,Male,25,22:16,5:18
499,58,Female,19,21:04,5:53
500,30,Male,22,23:22,7:06
501,61,Male,18,22:29,5:45
502,52,Female,25,21:33,6:30
503,48,Female,24,23:41,7:22
504,45,Female,24,23:14,6:21
505,44,Female,23,23:25,5:33
506,65,Female,24,23:37,7:32
507,50,Female,18,21:23,7:48
508,38,Female,21,23:07,6:23
509,39,Male,21,23:41,7:30
510,52,Female,23,23:55,7:04
511,60,Male,19,21:57,6:14
512,19,Male,23,23:35,6:41
513,39,Male,20,23:41,6:07
514,57,Male,20,23:31,7:19
515,48,Male,25,23:48,5:55
516,19,Male,19,23:31,5:08
517,56,Female,18,23:23,6:08
518,23,Male,18,21:09,5:47
519,40,Male,21,22:35,6:57
520,36,Female,24,22:22,6:13
521,21,Female,22,21:41,7:44
522,41,Female,24,23:17,7:29
523,52,Female,25,22:15,6:56
524,56,Male,19,21:00,7:45
525,30,Female,22,22:42,6:34
526,50,Male,25,23:44,5:58
527,54,Female,21,21:17,7:45
528,52,Female,21,21:47,6:45
529,62,Male,25,22:34,6:23
530,54,Male,18,23:13,7:16
531,42,Male,18,22:48,7:05
532,58,Female,21,22:18,5:28
533,40,Male,24,23:13,6:51
534,57,Female,19,23:07,5:05
535,42,Female,24,22:00,5:21
536,37,Female,22,22:09,6:20
537,59,Male,18,21:36,7:42
538,42,Male,25,23:46,7:42
539,53,Female,19,23:02,6:57
540,43,Female,21,22:47,6:42
541,60,Female,22,23:37,7:08
542,57,Male,23,22:18,7:23
543,52,Female,20,22:00,6:29
544,33,Female,24,21:16,5:36
545,33,Male,21,21:22,5:18
546,39,Male,20,21:57,6:01
547,29,Female,23,23:40,7:24
548,50,Female,23,23:54,6:41
549,35,Male,25,23:28,6:15
550,51,Female,21,23:01,7:07
551,47,Male,24,21:31,7:45
552,54,Male,25,23:42,5:08
553,54,Male,25,21:18,7:19
554,62,Female,23,23:12,6:51
555,43,Female,21,21:44,5:56
556,23,Female,21,21:32,5:23
557,32,Female,21,21:32,7:24
558,63,Female,19,23:43,7:27
559,53,Male,23,23:17,7:21
560,41,Male,21,21:29,7:10
561,53,Female,23,23:08,5:42
562,25,Female,19,23:36,6:07
563,59,Male,21,21:48,5:54
564,39,Male,23,21:20,5:28
565,59,Male,20,23:19,7:44
566,28,Female,19,23:40,7:47
567,55,Female,25,21:22,7:49
568,41,Female,25,23:15,5:17
569,28,Female,18,23:12,7:52
570,22,Male,21,21:59,5:46
571,34,Male,19,22:14,6:49
572,39,Male,22,22:27,5:33
573,30,Male,21,22:54,7:25
574,65,Male,25,22:04,7:27
575,31,Male,25,23:20,7:41
576,58,Female,22,22:10,5:10
577,26,Female,19,22:22,7:02
578,62,Male,25,22:31,7:55
579,39,Female,20,22:21,5:46
580,31,Male,21,22:44,6:53
581,40,Female,24,22:13,5:42
582,47,Female,19,22:11,6:10
583,29,Male,21,21:58,6:04
584,45,Male,24,21:34,6:47
585,64,Female,20,22:05,6:44
586,37,Female,23,23:08,6:17
587,45,Male,19,22:11,5:41
588,55,Female,25,21:52,6:10
589,32,Female,25,22:47,6:42
590,62,Male,19,22:35,6:15
591,41,Female,20,23:35,5:26
592,60,Female,25,22:18,5:51
593,38,Female,20,22:45,6:27
594,48,Male,20,23:32,5:02
595,55,Female,18,22:34,6:46
596,18,Female,19,21:13,6:48
597,43,Male,22,22:46,7:10
598,46,Female,20,22:31,7:51
599,36,Male,19,22:03,5:15
600,60,Female,19,22:12,6:50
601,25,Male,23,21:52,7:57
602,64,Female,23,21:51,6:41
603,64,Male,20,22:51,7:26
604,64,Female,18,23:17,7:17
605,33,Female,18,22:41,5:52
606,54,Female,24,22:49,7:50
607,45,Female,18,22:48,6:11
608,41,Female,19,21:22,7:24
609,31,Male,21,23:03,7:07
610,29,Male,23,22:34,6:03
611,35,Male,19,21:13,6:22
612,44,Female,25,22:52,7:04
613,25,Male,25,23:33,7:45
614,54,Female,18,23:56,7:41
615,64,Male,20,23:55,5:11
616,62,Female,23,23:08,7:01
617,36,Male,22,21:41,7:41
618,30,Male,25,21:17,5:46
619,52,Male,25,21:27,5:42
620,28,Female,25,22:48,6:16
621,54,Male,20,22:04,5:18
622,23,Male,22,22:52,7:33
623,47,Female,19,23:59,7:13
624,19,Male,18,23:02,6:40
625,54,Female,25,21:03,6:13
626,18,Female,25,21:01,7:25
627,34,Female,22,23:40,6:53
628,50,Female,22,22:39,5:54
629,27,Female,24,21:29,6:31
630,48,Female,21,21:36,7:50
631,64,Male,25,23:22,5:02
632,51,Male,19,21:19,7:19
633,31,Female,24,21:35,7:20
634,42,Female,25,23:47,6:17
635,35,Female,19,23:31,7:54
636,59,Male,21,21:16,5:30
637,24,Female,19,21:26,5:15
638,34,Male,20,21:14,6:58
639,18,Male,19,22:31,7:37
640,25,Male,23,23:44,7:29
641,23,Male,20,22:36,7:52
642,50,Female,18,22:58,7:07
643,43,Female,25,22:36,5:52
644,60,Female,19,21:41,6:09
645,19,Female,20,22:59,6:00
646,30,Male,19,23:23,5:54
647,21,Female,20,21:54,6:25
648,64,Male,25,21:05,5:14
649,49,Female,19,21:26,7:46
650,61,Female,25,23:27,7:22
651,31,Female,18,21:45,5:26
652,34,Male,25,22:48,5:53
653,39,Male,23,22:14,5:06
654,44,Female,24,23:22,6:40
655,49,Female,22,23:17,5:25
656,40,Female,24,23:14,5:07
657,53,Male,19,22:24,5:53
658,44,Female,18,23:51,6:05
659,23,Female,19,22:00,5:37
660,25,Female,22,21:56,5:45
661,62,Female,25,23:06,7:15
662,24,Female,22,22:51,6:56
663,32,Male,22,21:27,6:21
664,23,Female,25,22:57,6:13
665,48,Male,23,23:01,6:06
666,21,Male,25,23:46,6:05
667,58,Female,19,21:02,5:41
668,24,Male,22,21:34,5:26
669,56,Male,19,22:06,5:33
670,29,Female,22,21:17,7:10
671,61,Female,21,21:18,7:39
672,29,Male,20,23:31,7:03
673,53,Female,24,23:02,5:05
674,25,Male,24,22:19,5:25
675,33,Female,21,23:48,6:57
676,30,Female,25,23:00,6:46
677,23,Female,22,22:07,7:59
678,65,Female,21,23:18,6:12
679,38,Male,18,21:54,5:09
680,33,Male,24,23:07,7:17
681,54,Female,23,21:56,6:43
682,47,Male,19,21:21,6:12
683,27,Female,22,21:31,7:58
684,55,Female,25,21:54,7:13
685,53,Female,20,23:21,5:37
686,46,Female,24,23:43,5:47
687,19,Male,23,22:29,7:46
688,60,Female,20,21:23,6:32
689,22,Male,22,23:06,6:00
690,23,Female,25,22:41,7:33
691,51,Female,23,23:28,6:10
692,52,Male,24,22:41,7:03
693,30,Male,20,23:17,5:09
694,53,Male,19,23:19,5:57
695,33,Female,25,21:32,5:02
696,42,Male,20,22:18,7:26
697,26,Male,20,22:03,6:40
698,62,Male,23,23:49,5:59
699,28,Female,23,22:23,6:07
700,37,Male,18,22:50,6:33
701,21,Male,25,23:16,6:48
702,51,Female,22,21:45,5:12
703,43,Female,23,23:09,6:38
704,30,Female,19,23:19,5:03
705,22,Male,24,21:48,5:56
706,20,Female,23,21:29,5:11
707,42,Male,24,22:17,5:23
708,31,Female,20,21:59,6:10
709,39,Male,22,21:14,7:23
710,61,Female,22,22:35,7:42
711,32,Female,20,22:45,7:27
712,46,Female,21,21:47,7:50
713,19,Male,21,21:50,6:13
714,23,Female,19,23:27,6:05
715,62,Female,18,21:34,7:18
716,28,Male,21,22:22,7:46
717,33,Female,24,22:02,5:10
718,23,Male,23,23:01,6:28
719,44,Male,22,21:09,6:23
720,25,Female,24,22:47,6:11
721,36,Female,19,22:08,6:14
722,56,Male,25,23:05,7:03
723,58,Female,18,22:42,7:01
724,33,Female,18,22:33,7:10
725,46,Female,18,23:06,5:24
726,50,Male,25,23:53,5:18
727,21,Male,22,23:25,6:37
728,34,Female,24,22:13,7:17
729,59,Male,23,22:32,6:36
730,18,Male,25,22:12,7:37
731,47,Male,25,21:13,7:58
732,18,Female,23,21:05,5:07
733,28,Female,19,22:19,7:49
734,57,Male,24,21:00,5:47
735,26,Female,20,22:08,7:10
736,49,Female,21,23:59,7:40
737,64,Female,20,23:00,6:29
738,44,Male,18,21:20,7:53
739,46,Female,23,21:16,7:52
740,65,Female,24,23:32,7:09
741,43,Male,21,23:32,5:04
742,60,Female,24,22:46,7:38
743,48,Male,18,21:14,7:27
744,60,Female,21,23:44,7:35
745,65,Female,19,21:53,6:42
746,41,Male,20,22:45,5:23
747,54,Female,22,22:48,5:47
748,64,Male,23,21:41,7:55
749,61,Male,22,21:45,6:58
750,60,Male,19,22:51,7:28
751,39,Male,22,21:04,5:08
752,38,Male,22,21:14,7:41
753,64,Female,23,22:17,5:14
754,47,Male,24,23:31,7:50
755,28,Female,21,23:51,7:16
756,44,Female,23,21:34,6:52
757,42,Male,19,23:56,6:11
758,54,Female,23,23:17,6:18
759,47,Female,23,22:48,5:41
760,22,Female,24,21:37,7:06
761,43,Male,23,22:04,6:53
762,33,Female,19,21:31,7:46
763,22,Male,20,21:33,5:45
764,27,Male,18,23:22,7:07
765,41,Female,23,21:54,7:27
766,29,Male,23,23:18,7:40
767,28,Male,23,22:44,5:12
768,35,Male,23,22:40,6:32
769,63,Male,24,23:34,7:04
770,47,Female,20,21:11,5:12
771,41,Female,21,23:03,6:10
772,25,Male,24,21:32,7:01
773,26,Female,22,23:55,6:56
774,59,Male,25,23:11,5:21
775,60,Female,23,23:40,7:46
776,52,Female,25,22:53,5:46
777,23,Female,23,23:38,7:00
778,63,Female,25,23:41,7:17
779,33,Female,20,22:04,7:07
780,22,Male,25,21:40,7:44
781,56,Female,21,23:14,7:20
782,33,Male,19,21:39,5:27
783,21,Male,22,23:03,5:45
784,48,Male,21,21:13,5:05
785,65,Female,21,21:47,5:16
786,54,Female,23,21:47,5:46
787,43,Male,24,21:58,5:43
788,51,Female,21,22:16,5:17
789,23,Female,18,23:42,5:01
790,41,Female,20,23:35,5:31
791,47,Female,24,21:36,6:01
792,18,Female,18,23:32,6:04
793,51,Female,21,21:17,6:06
794,58,Male,24,23:18,7:34
795,64,Male,21,23:01,6:04
796,25,Female,25,22:39,5:42
797,52,Female,21,21:32,5:38
798,43,Male,21,21:48,6:53
799,47,Male,19,21:13,6:45
800,28,Male,23,23:01,5:25
801,33,Female,23,23:25,6:29
802,38,Male,25,21:53,5:34
803,30,Female,23,21:59,6:41
804,22,Female,21,21:17,6:48
805,44,Female,24,21:19,5:29
806,54,Male,19,21:55,6:41
807,50,Male,22,23:41,7:31
808,25,Female,20,22:38,7:45
809,46,Female,20,23:41,5:00
810,64,Female,22,22:33,7:20
811,28,Male,25,23:18,5:52
812,40,Female,18,23:07,5:42
813,37,Male,18,23:30,6:44
814,45,Male,19,21:19,6:10
815,56,Female,18,22:34,6:24
816,57,Male,19,22:41,7:30
817,41,Male,20,23:29,5:13
818,58,Female,23,23:41,7:04
819,26,Female,20,21:38,5:21
